
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
BVI710                         10.192.64.253   Down            Down     VRF_4G_SER
BVI711                         10.192.65.29    Down            Down     VRF_PS_CPUP
BVI712                         10.192.65.61    Down            Down     VRF_INT_01
BVI713                         10.192.65.93    Down            Down     VRF_IMS 
BVI716                         10.192.66.253   Down            Down     VRF_4G_SER
BVI717                         10.192.67.29    Down            Down     VRF_PS_CPUP
BVI718                         10.192.67.61    Down            Down     VRF_INT_02
BVI719                         10.192.67.93    Down            Down     VRF_IMS 
BVI722                         10.192.74.125   Down            Down     VRF_4G_SER
BVI723                         10.192.74.157   Down            Down     VRF_PS_CPUP
BVI724                         10.192.74.189   Down            Down     VRF_INT_05
BVI725                         10.192.74.221   Down            Down     VRF_IMS 
BVI728                         10.192.78.125   Down            Down     VRF_4G_SER
BVI729                         10.192.78.157   Down            Down     VRF_PS_CPUP
BVI730                         10.192.78.189   Down            Down     VRF_INT_06
BVI731                         10.192.78.221   Down            Down     VRF_IMS 
BVI960                         10.192.96.253   Down            Down     VRF_4G_SER
BVI961                         10.192.97.29    Down            Down     VRF_PS_CPUP
BVI962                         10.192.97.61    Down            Down     VRF_INT_03
BVI963                         10.192.97.93    Down            Down     VRF_IMS 
BVI966                         10.192.98.253   Down            Down     VRF_4G_SER
BVI967                         10.192.99.29    Down            Down     VRF_PS_CPUP
BVI968                         10.192.99.61    Down            Down     VRF_INT_04
BVI969                         10.192.99.93    Down            Down     VRF_IMS 
BVI972                         10.192.106.125  Down            Down     VRF_4G_SER
BVI973                         10.192.106.157  Down            Down     VRF_PS_CPUP
BVI974                         10.192.106.189  Down            Down     VRF_INT_07
BVI975                         10.192.106.221  Down            Down     VRF_IMS 
Bundle-Ether1                  27.68.230.2     Down            Down     default 
Bundle-Ether4                  unassigned      Down            Down     default 
Bundle-Ether5                  unassigned      Down            Down     default 
Bundle-Ether13                 unassigned      Down            Down     default 
Bundle-Ether14                 unassigned      Down            Down     default 
Bundle-Ether15                 unassigned      Down            Down     default 
Bundle-Ether16                 unassigned      Down            Down     default 
Bundle-Ether21                 27.68.201.130   Down            Down     VRF_CACHE_MOBILE
Bundle-Ether25                 unassigned      Down            Down     default 
Bundle-Ether31                 27.68.230.205   Down            Down     default 
Bundle-Ether32                 27.68.230.209   Down            Down     default 
Bundle-Ether50                 unassigned      Down            Down     default 
Bundle-Ether51                 unassigned      Down            Down     default 
Bundle-Ether52                 unassigned      Down            Down     default 
Bundle-Ether53                 unassigned      Down            Down     default 
Bundle-Ether60                 unassigned      Down            Down     default 
Bundle-Ether87                 10.208.73.158   Down            Down     VRF_OCS 
Bundle-Ether1.3                10.202.250.2    Down            Down     VRF_PS_MPBN
Bundle-Ether1.4                10.202.250.6    Down            Down     VRF_PS_CHARG
Bundle-Ether1.5                10.205.18.178   Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether1.6                10.202.250.18   Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether4.2                10.52.119.73    Down            Down     VRF_PS_MPBN
Bundle-Ether4.3                10.52.147.61    Down            Down     VRF_5GC_PS_MPBN
Bundle-Ether5.2                10.60.227.13    Down            Down     VRF_PS_CHARG
Bundle-Ether5.3                10.205.18.185   Down            Down     VRF_5GC_PS_CHARG
Bundle-Ether1.30               10.192.225.18   Down            Down     VRF_INT_01
Bundle-Ether1.31               10.192.225.22   Down            Down     VRF_INT_02
Bundle-Ether1.32               10.192.226.18   Down            Down     VRF_INT_03
Bundle-Ether1.33               10.192.226.22   Down            Down     VRF_INT_04
Bundle-Ether1.34               10.192.225.42   Down            Down     VRF_INT_05
Bundle-Ether1.35               10.192.225.62   Down            Down     VRF_INT_06
Bundle-Ether1.36               10.192.225.102  Down            Down     VRF_INT_07
Bundle-Ether1.37               10.202.250.30   Down            Down     VRF_INT_5GC_02
Bundle-Ether1.45               unassigned      Down            Down     VRF_INT_5GC
Bundle-Ether1.50               10.192.255.194  Down            Down     VRF_INT_5GC
Bundle-Ether1.60               unassigned      Down            Down     VRF_INT_01
Bundle-Ether1.61               unassigned      Down            Down     VRF_INT_02
Bundle-Ether1.62               unassigned      Down            Down     VRF_INT_03
Bundle-Ether1.63               unassigned      Down            Down     VRF_INT_04
Bundle-Ether1.64               unassigned      Down            Down     VRF_INT_05
Bundle-Ether1.65               unassigned      Down            Down     VRF_INT_06
Bundle-Ether1.66               unassigned      Down            Down     VRF_INT_07
Bundle-Ether1.100              10.192.225.82   Down            Down     VRF_IMS 
Bundle-Ether1.500              unassigned      Down            Down     default 
Bundle-Ether1.501              unassigned      Down            Down     default 
Bundle-Ether13.20              10.192.225.129  Down            Down     VRF_INT_01
Bundle-Ether13.21              10.192.225.133  Down            Down     VRF_INT_02
Bundle-Ether13.22              10.192.225.53   Down            Down     VRF_INT_05
Bundle-Ether13.23              10.192.225.93   Down            Down     VRF_INT_06
Bundle-Ether13.30              10.192.225.153  Down            Down     VRF_PS_MOBITV
